KF_Time;KF_States;KF_Covariance;
1527252286731908958;   4.98037084525461   0.375405729521242    15.0360804642517    2.56983956488372   0.250884730177173 0.00166663353456515    7.33050469787622    1.10697530515307    42.0368458592144;0.0749577965542773 0.0749578183312948 0.0614768897479257 0.0528267883526987 0.0528267663889485 0.0566922258758885  0.026279834356267 0.0262798436443985  0.356076942536976;
1527252286833331284;   5.00156795028967   0.395501173132108    15.0261228561723    2.56975786436402   0.250911799777453 0.00425712643399257    7.33954825801122    1.10988065314368    42.0380761691762; 0.076903022437081 0.0769030460672574  0.065437746903253 0.0514522498408403 0.0514522382634662 0.0535559972091744  0.026275229828649 0.0262752390901848  0.350935233597135;
1527252286934326701;   4.99409963178933   0.409726837648403    15.0176677539596    2.56212522875714   0.251167483063736 0.00417881779436219    7.34388939804241     1.1112053021147    42.0389065029992;0.0798721129505714 0.0798721373749337 0.0695101511288002 0.0528227532139412 0.0528227313407151 0.0566462832088563 0.0263254959824707 0.0263255052280815  0.353480239079915;
1527252287035354188; 4.97553950794999 0.365147538775783  15.0136752001923  2.56453791402601 0.249435711250522 0.004683827068464  7.35803559052639  1.12508786648487  42.0390463431525; 0.065486784308671 0.0654868008966274  0.050636428982246  0.051452246624901 0.0514522350476466  0.053555806678606 0.0258225919199216 0.0258226015182171  0.344481292712924;
1527252287136657547;   4.95229230025794   0.380614736597874    15.0069484223129    2.56406179239255   0.250263967858074 0.00382374579824737    7.36317871932246    1.12661153444391    42.0404008784317;0.0687641984444215 0.0687642154831937 0.0547453739332941    0.0527917870702  0.052791766002912 0.0565964692375458 0.0258590655581598 0.0258590751359816  0.346966686279587;
1527252287237823397;   4.90209188998861   0.347148023511665    15.0090600101944     2.5624446998543   0.249539632633824 0.00366540951690554    7.37188637065976    1.13672878178307    42.0392564693134;0.0593141068681714 0.0593141184316493 0.0436009129630386 0.0527956353904459 0.0527956142401478 0.0566403749648365  0.025540047742236 0.0255400576092207   0.34695998362234;
1527252287338946646;   4.87876192270028   0.370281592411914    15.0048113303456    2.57699110431607   0.243756778130847 0.00101982171119649    7.38472407598648    1.13997981923232    42.0416686369607;0.0620226386859762 0.0620226515120085 0.0476290963101463 0.0514436978320579 0.0514436894146781 0.0535409704298044 0.0254915282058188 0.0254915380508141   0.34168882322562;
1527252287440370763;     4.82935919535441     0.389098428875982      14.9992258251395      2.58258535809206     0.242076636550257 -0.000177660272548026      7.39108011262769      1.14140580563794       42.043154135759;0.0653721222046119 0.0653721356768915 0.0517379365444241  0.052821625563522 0.0528216149307009  0.056644237281668 0.0255206387035154 0.0255206485363419   0.34417316009203;
1527252287531924616;    4.78838917772296    0.406531877195511     14.9941074270804     2.58900139895086    0.243812549952058 -0.00136023705050716     7.39727106454479     1.14268187230144     42.0447398725009;0.0686212798582844 0.0686212940996163 0.0558188655147475  0.052825668504986 0.0528256578366411 0.0566897179438968 0.0255516496447123 0.0255516594632198  0.346577918822419;
1527252287632963628;    4.76239420696608     0.43029088948238     14.9890902527058     2.59378870177518    0.245075718449558 -0.00326382552261295      7.4105327791083     1.14504751036187     42.0477642366918;0.0708310836633277 0.0708310996938137 0.0597623499561759 0.0514516656647417 0.0514516600413313  0.053554948477512  0.025520325504607 0.0255203352876983  0.341631420761638;
1527252287734140349;    4.70330661510435    0.448487625482897     14.9823491751503     2.59884491090714    0.246745034973158 -0.00398917700764162     7.41577202170173     1.14593383582768     42.0492073770304;0.0739311704677516 0.0739311873558374  0.063826150032459 0.0528216495303769 0.0528216389057858 0.0566444524942846 0.0255578712254261 0.0255578809877969  0.344268899190292;
1527252287835138504;    4.66463682104673    0.408060994632878     14.9386519987606     2.60468736493175    0.248803294049418 -0.00366349158712375     7.42779884281427     1.15743221472894     42.0657175700062;0.0618027387409535 0.0618027509258612 0.0479959323195841 0.0514516624593084 0.0514516568359559 0.0535547604230921 0.0251794871654188 0.0251794972148391  0.337187582600951;
1527252287936330103;    4.60521743502175    0.425771510633856     14.9321966923885       2.607764784947    0.246770023285644 -0.00146829451027316     7.43456820381553     1.15849830083155     42.0678897799388;0.0651437867665419 0.0651437996278935 0.0520976755657988 0.0528216495209206 0.0528216388963298 0.0566444496060661 0.0252069024684704 0.0252069125044438  0.339827313000327;
1527252288037595325;    4.54365934121908    0.441515687702439     14.9287324816108     2.61089938669108    0.247954390596857 -0.00053420512234701     7.44036322897873     1.15932007069646     42.0704016550236;0.0683901563940742 0.0683901700300964 0.0561856440768778 0.0528256685738867 0.0528256579055648 0.0566897209090132 0.0252362927965803 0.0252363028168932  0.342382362715871;
1527252288138661491;   4.53390766897315    0.40060973627576    14.9087396317364    2.61483094774067   0.248244526716497 0.00138751329517623    7.44766838292606    1.16928133994013    42.0818332943702;0.0583525038589359 0.0583525141748929 0.0442413553781425 0.0514434308357738 0.0514434253218947 0.0535406397233857 0.0249117848982151 0.0249117951735723  0.335834157347663;
1527252288240099641;    4.4791244163741   0.411905282794142    14.9110431266143    2.61492768082652   0.248556668809285 0.00247710577984099    7.45322508236306    1.17002289767035      42.08433002453;0.0617657693202326  0.061765780306937 0.0483499361315464 0.0527906796680186 0.0527906694473034 0.0565944626719896 0.0249331725476517 0.0249331828162797  0.338416000807387;
