KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1527250343393419027;  1.60697448145981  0.044726165871737 0.0136760338363501;    24.20905071277 -0.125946159480405   58.8525237104593;
1527250343483429909;  1.60911155522794 0.0444741901780532 0.0116033783781425;  23.9777154717969 -0.125848129653757   58.8641003504186;
1527250343533429861;  1.61253021205576 0.0428088160863795 0.0113632572357917;  24.0585814568818 -0.122755643069237   58.8646507939413;
1527250343623435020;   1.61422687117821  0.0443581848691046 0.00734787847415764;  23.8479920747832 -0.123724612406845   58.8654143603145;
1527250343673437834;   1.61448767360398  0.0438294876203687 0.00463500957585445;  23.5616924052749 -0.132929448475461    58.855726669326;
1527250343763448954;    1.61751053830507   0.0436228611899276 0.000448426445402453;   23.708162275604 -0.129660712865166   58.8559800173987;
1527250343813454866;    1.61750858131998   0.0447534090023602 -0.00204804969074051;  23.2882893771081 -0.145277177648142   58.8659718544145;
1527250343893458843;    1.62017693420409   0.0442323364407758 -0.00479624639500995;  23.4190246036357 -0.143772777109594   58.8657642631124;
1527250343983461857;    1.62037477202726   0.0447159824767178 -0.00902450558111919;  23.2542873529874 -0.159833156952512   58.8651980069039;
1527250344033464909;   1.61822995172191   0.044408024405113 -0.0108198069398265;  23.3361356124454 -0.159686469967536   58.8647407593425;
1527250344123476028;   1.61869404052652  0.0452383752357387 -0.0129818136991196;  23.0935506152386 -0.182488725912136   58.8537100416167;
1527250344183481932;   1.61718572247783  0.0474158116055424 -0.0149854576427964;  22.8018577756469 -0.205339569376825   58.8529066227767;
1527250344233479977;  1.62050485522166 0.0484939769321569 -0.015547839067666;   22.884984228192 -0.205779213483985   58.8524463567385;
1527250344303493023;   1.61737465476435   0.047469828296203 -0.0147934592129313;  22.5424610621489 -0.239908153146889   58.8513573366466;
1527250344393494844;   1.61588844108262  0.0507924159900022 -0.0143334013238551;   22.689157045866 -0.239720425026551   58.8499872974639;
1527250344473505974;   1.62722385792691  0.0446717414718434 -0.0122255035521763;  22.3787138482041 -0.321617573308584   58.8455811501225;
1527250344563513994;    1.62513899575328   0.0490975644474166 -0.00873048731778879;  22.0571986693687 -0.354530049869184   58.8445418649593;
1527250344623515844;   1.62535856042912  0.0483649915521207 -0.0066352085763611;  22.1545426653992 -0.353012074095113   58.8440712903879;
1527250344733520985;  1.62193467607573  0.054674378888101 0.0002743377775506;  21.9198463478148 -0.382451300431957   58.8436681125596;
1527250344773524046;   1.62334462044598    0.05591179792536 0.00251973150870426;  21.4271398386696 -0.425561738772408   58.8436881198862;
1527250344863536835;   1.62080355616557   0.060586763397337 0.00689983657696252;  21.1593719988625 -0.453121699475473   58.8540602565481;
1527250344933538914;   1.62167292766345  0.0669444203635722 0.00916807430464629;  21.2714710465463 -0.447013217186226   58.8546411159479;
