KF_Time;KF_States;KF_Covariance;
1455208274781512736;  0.166913481684907  -0.265995631740441    4.28899894304209                   0                   0                   0   0.241791841362477 -0.0771821417922095   0.126776104206652;  0.0640875667284437   0.0640875667284437   0.0581166532464135 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0393452473796727   0.0393452473796727    0.767344327404428;
1455208274882548079;   0.10879945096112  -0.203205482774195    4.24022926313904                   0                   0                   0   0.241791841362477 -0.0771821417922095   0.126776104206652;  0.0681875767863833   0.0681875767863833   0.0622166633043531 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0394452473771465   0.0394452473771465    0.777344327180911;
1455208274983471706;  0.047224503890597  -0.138154198523717    4.19168221647734                   0                   0                   0   0.241791841362477 -0.0771821417922095   0.126776104206652;  0.0722875868064861   0.0722875868064861   0.0663166733244559 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0395452473746203   0.0395452473746203    0.787344326957393;
1455208275084564805; 0.0167524822792705  -0.195269977667535     4.1371515077485                   0                   0                   0   0.251720120312905 -0.0745332795085427    0.13976962474797;  0.0589717637680781   0.0589717637680781     0.05324963353606 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0394086316535353   0.0394086316535353    0.773948818785811;
1455208275185632942;-0.0395190475840665  -0.128696661826753    4.09852604178239                   0                   0                   0   0.251720120312905 -0.0745332795085427    0.13976962474797;  0.0630717728748203   0.0630717728748203   0.0573496426428023 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0395086316510091   0.0395086316510091    0.783948818562293;
1455208275286597975; -0.098370350848561 -0.0590712862703382    4.05812978781836                   0                   0                   0   0.251720120312905 -0.0745332795085427    0.13976962474797;  0.0671717828338149   0.0671717828338149   0.0614496526017969 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0396086316484829   0.0396086316484829    0.793948818338776;
1455208275377690969; -0.146311092761377 0.00918559516800868     4.0211016743004                   0                   0                   0   0.251720120312905 -0.0745332795085427    0.13976962474797;  0.0712717928865452   0.0712717928865452   0.0655496626545272 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0397086316459567   0.0397086316459567    0.803948818115258;
1455208275478687466;  -0.217187891865747 -0.00666853979107073     3.98385876313431                    0                    0                    0    0.252744639926177  -0.0718270987971049    0.139817712142192;  0.0547879441254205   0.0547879441254205   0.0488894801718952 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0397861270307368   0.0397861270307368    0.813621282003447;
1455208275579774634;  -0.23548322072077  0.0528878068280427     3.9469084245046                   0                   0                   0    0.26336451745361 -0.0733117525463995   0.148505906295868;  0.0622803702798329   0.0622803702798329   0.0569713377375806 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0396705114649898   0.0396705114649898    0.798381177224524;
1455208275680845769; -0.263998913222078    0.10906979576922    3.91043434833104                   0                   0                   0    0.26336451745361 -0.0733117525463995   0.148505906295868;  0.0663803796583518   0.0663803796583518   0.0610713471160996 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0397705114624635   0.0397705114624635    0.808381177001006;
